"","chungcheong","seoul"
"1358","두 달을 길르구 또 두 달을 길르구 그러면 지저분해서 깎아야 되는데","두 달을 기르고 또 두 달을 기르고 그러면 지저분해서 깎아야 되는데"
"1359","전혀 지저분하지 않았다 라고 얘기를 하면서 돈이 안 아깝다 라고 하는 사람도 있드라구","전혀 지저분하지 않았다 라고 얘기를 하면서 돈이 안 아깝다 라고 하는 사람도 있더라고"
"1360","아니면은 그 &company-name4& 거기가","아니면은 그 &company-name4& 거기가"
"1361","&company-name4&인가 어디도 있어.","&company-name4&인가 어디도 있어."
"1362","가격이 비슷했던 거 같애.","가격이 비슷했던 거 같애."
"1363","근데 니가 말하는 거기 같애 여자분이라고 했거든.","근데 네가 말하는 거기 같애 여자분이라고 했거든."
"1364","아~ 여자 개인 개인?","아~ 여자 개인 개인?"
"1365","(()) 얘두 인제 소개로 갔나 봐 근데 그","(()) 얘두 인제 소개로 갔나 봐 근데 그"
"1366","디자이너 같은 경우는 그런 소개 소개로 계속 이릏게 연결을 하는 거 같고","디자이너 같은 경우는 그런 소개 소개로 계속 이렇게 연결을 하는 거 같고"
"1367","이만 원이면 깎을 수 있는 머리를 삼만 팔천 원에 하니까","이만 원이면 깎을 수 있는 머리를 삼만 팔천 원에 하니까"
"1368","오히려 더 수입이 많이 나지 않을까?","오히려 더 수입이 많이 나지 않을까?"
"1369","다음에 언제 한번 나한테 전화를 주면 내가 거 원장님한테","다음에 언제 한번 나한테 전화를 주면 내가 거 원장님한테"
"1370","너무 많이 길러서 머리를 나도 길르는 편이 아니라서","너무 많이 길러서 머리를 나도 기르는 편이 아니라서"
"1371","좀 나도 항상 보브 스타일을 하는데 지금은 내가 막 묶구 다니거든.","좀 나도 항상 보브 스타일을 하는데 지금은 내가 막 묶구 다니거든."
"1372","그르구 또 일을 할 때는 묶는 게 또 편하고 머리카락이 많이 빠지드라구 요즘에","그리고 또 일을 할 때는 묶는 게 또 편하고 머리카락이 많이 빠지더라고 요즘에"
"1373","인제 그 가을철이라 그런가 그래서 인제 항상 머리를 묶구 하는데 보브 스타일은","인제 그 가을철이라 그런가 그래서 인제 항상 머리를 묶구 하는데 보브 스타일은"
"1374","풀러도 쫌 단정하잖아 근데 기르니까 인제 쫌매야 되고","풀러도 조금 단정하잖아 근데 기르니까 인제 잡아매야 되고"
"1375","가기 전에 지금 &company-name3&도 이만 원 한다는 거야?","가기 전에 지금 &company-name3&도 이만 원 한다는 거야?"
"1376","음~ 근데 올리지 않았어 작년에두 이만 원이었는데 올해두 이만 원이야.","음~ 근데 올리지 않았어 작년에두 이만 원이었는데 올해두 이만 원이야."
"1377","근데 파마 같은 거는 많이 비싸드라구","근데 파마 같은 거는 많이 비싸더라고"
"1378","어디나","어디나"
"1379","디자인 펌 들어가면 정말 많이 비싸드라구 그래서 퍼머는 지금은 인제 못하겠드라구","디자인 펌 들어가면 정말 많이 비싸더라고 그래서 퍼머는 지금은 인제 못하겠더라고"
"1380","음~ 염색은 니가 집에서 하는 거잖아?","음~ 염색은 네가 집에서 하는 거잖아?"
"1381","음~ 인제 흰머리가 많으니까 그 이 주에 한 번씩 해야 되니까","음~ 인제 흰머리가 많으니까 그 이 주에 한 번씩 해야 되니까"
"1382","불편한 미용실 가기는 쪼끔 돈이 아깝구","불편한 미용실 가기는 쪼끔 돈이 아깝구"
"1383","그 염색약 사다가 집에서 하게 되드라구","그 염색약 사다가 집에서 하게 되더라고"
"1384","음~ 난 니 참머리가 너무 부러워.","음~ 난 너 참머리가 너무 부러워."
"1385","나는 곱슬이라 이게 그릏게","나는 곱슬이라 이게 그렇게"
"1386","나는 내 소원이 있지 머리를 딱 깜고","나는 내 소원이 있지 머리를 딱 감고"
"1387","머리를 안 말려도 그냥 나가도","머리를 안 말려도 그냥 나가도"
"1388","자연히 인제 자연스럽게 말랐을 때","자연히 인제 자연스럽게 말랐을 때"
"1389","얘가 막 너처럼 그릏게 딱 참머리 식으루 그 돼야 되는데 나는 막","얘가 막 너처럼 그렇게 딱 참머리 식으로 그 돼야 되는데 나는 막"
"1390","붕하잖아 그리고 약간 꼽슬꼽슬하잖아 그니까 이거를 매직기로","붕하잖아 그리고 약간 꼽슬꼽슬하잖아 그러니까 이거를 매직기로"
"1391","겉에를 펴줘야 되니까 시간이 많이 걸리고 집에서 막","겉에를 펴줘야 되니까 시간이 많이 걸리고 집에서 막"
"1392","드라이로 바람 쐬서 말려야 되고 그런데","드라이로 바람 쐬서 말려야 되고 그런데"
"1393","너 같은 경우는 그릏지가 않잖아?","너 같은 경우는 그렇지가 않잖아?"
"1394","근데 나 같은 경우는 참머리라 그런 거는 좋은데 파마했을 때 파마가 빨리 풀어져.","근데 나 같은 경우는 참머리라 그런 거는 좋은데 파마했을 때 파마가 빨리 풀어져."
"1395","머리가 원체 건강모에다 직모다 보니까 풀어져서","머리가 원체 건강모에다 직모다 보니까 풀어져서"
"1396","내가 원하는 컬은 이 정도로 해서 하면 한 일주일 되면은 주루룩 풀어져 있어서 또 그런 단점이 있드라구","내가 원하는 컬은 이 정도로 해서 하면 한 일주일 되면은 주루룩 풀어져 있어서 또 그런 단점이 있더라고"
"1397","음~ 내가 딱 그 머리여야 되는데 난 어짜피 파마를 안 하니까 하고 다니니까","음~ 내가 딱 그 머리여야 되는데 난 어짜피 파마를 안 하니까 하고 다니니까"
"1398","근데 나는 너무 또 쌩머리만 저기 하다 보니까","근데 나는 너무 또 생머리만 저기 하다 보니까"
"1399","파마를 해두 볼륨 펌을 해두 금방 죽으니까 그런 게 또","파마를 해두 볼륨 펌을 해두 금방 죽으니까 그런 게 또"
"1400","안 좋은 면두 있는데 꼽슬보다는 그래도","안 좋은 면두 있는데 꼽슬보다는 그래도"
"1401","사람들이 나는 있잖아 내가 머리 이르칼 때 음~ 머 볼륨매직한 거 같다고 얘기를 해.","사람들이 나는 있잖아 내가 머리 이렇게 할 때 음~ 머 볼륨매직한 거 같다고 얘기를 해."
"1402","그렇게 지금 보여서","그렇게 지금 보여서"
"1403","어~ 얘가 볼륨 펌했구나 했 생각을 했거든 뿌리 부분이 다 살아있어서","어~ 얘가 볼륨 펌했구나 했 생각을 했거든 뿌리 부분이 다 살아있어서"
"1404","그거는 좋아 나는","그거는 좋아 나는"
"1405","볼륨 파마를 안 해도 사람들이 다 볼륨 파마한 줄 알아.","볼륨 파마를 안 해도 사람들이 다 볼륨 파마한 줄 알아."
"1406","근데 이게 그냥 이제 매일매일 아침마다","근데 이게 그냥 이제 매일매일 아침마다"
"1407","나올려면 그래서 내가 머리 묶고 다닌 게 좋았던 게 뭐냐면","나오려면 그래서 내가 머리 묶고 다닌 게 좋았던 게 뭐냐면"
"1408","머리 그냥 매직 안 하고 아침에 시간이 없잖아 막 바쁜데","머리 그냥 매직 안 하고 아침에 시간이 없잖아 막 바쁜데"
"1409","딱 묶구 앞머리만 매직기만 딱 해주면 끝이야 마스크 쓰구 마스크 쓰구 근데","딱 묶구 앞머리만 매직기만 딱 해주면 끝이야 마스크 쓰구 마스크 쓰구 근데"
"1410","이릏게 머리를 짤라 놓으면 또 단점이 머리를 다 해서","이렇게 머리를 짤라 놓으면 또 단점이 머리를 다 해서"
"1411","한 번씩 매직기를 돌아가면서 해줘야 되니까 이제 머릿결도 상하고","한 번씩 매직기를 돌아가면서 해줘야 되니까 이제 머릿결도 상하고"
"1412","그르카는데 내가 지금","그렇게 하는데 내가 지금"
"1413","단백질 들으간 그 트리트먼트제를 사야 되는데","단백질 들어간 그 트리트먼트제를 사야 되는데"
"1414","너 혹시 어디 거 좋은지 알고 있어?","너 혹시 어디 거 좋은지 알고 있어?"
"1415","나는 머릿결이 너무 좋아서 그런 거에 쪼끔 관심이 없어 갖구","나는 머릿결이 너무 좋아서 그런 거에 쪼끔 관심이 없어 갖구"
"1416","안 써봤어 음~ 보면 있을 텐데 저렴하고","안 써봤어 음~ 보면 있을 텐데 저렴하고"
"1417","싫어 왠지 제품 안 좋을 거 같애.","싫어 왠지 제품 안 좋을 거 같애."
"1418","그렇지 않아 제품 괜찮아 음~","그렇지 않아 제품 괜찮아 음~"
"1419","그 헤어 컬 이런 거 이릏게 쫌 탄력 있게 만들어주는 거 가격두","그 헤어 컬 이런 거 이렇게 조금 탄력 있게 만들어주는 거 가격두"
"1420","일반인이 가두 이릏게 저렴하게 주드라구 나는 그래서","일반인이 가두 이렇게 저렴하게 주더라고 나는 그래서"
"1421","염색약두 미용 재료상에서 사다가 쓰거든.","염색약두 미용 재료상에서 사다가 쓰거든."
"1422","난 저기서 사는데","난 저기서 사는데"
"1423","그 옛날에 아모스 거래하고 이랬던 거 같은데 나는","그 옛날에 아모스 거래하고 이랬던 거 같은데 나는"
"1424","미용실에 들어가는 염색약을 쓰거든 근데 괜찮아.","미용실에 들어가는 염색약을 쓰거든 근데 괜찮아."
"1425","원래 좋았잖아 근데 그건 어떤 거야?","원래 좋았잖아 근데 그건 어떤 거야?"
"1426","들어가는 염색약인데 양이 커 일반","들어가는 염색약인데 양이 커 일반"
"1427","그 시중에 나오는 염색약은 즘 자그만한데 이건 업소용으로 나온 거라","그 시중에 나오는 염색약은 좀 자그마한데 이건 업소용으로 나온 거라"
"1428","그르구 제품두 좋아.","그리고 제품두 좋아."
"1429","어~ 내가 사진 찍어서 보내줄게 언니한테 내가 부탁을 해서 사 오라고 하거든.","어~ 내가 사진 찍어서 보내줄게 언니한테 내가 부탁을 해서 사 오라고 하거든."
"1430","흰머리가 많은 사람은 이 붉은빛 나는 컬러를 쓰고 그","흰머리가 많은 사람은 이 붉은빛 나는 컬러를 쓰고 그"
"1431","갈색빛나는 거는 좀 새치 살짝 있는 거는 갈색을 써야 된대 그래서","갈색빛나는 거는 좀 새치 살짝 있는 거는 갈색을 써야 된대 그래서"
"1432","나는 머릿 빛이 머리 색깔이 좀 붉은빛이 나잖아 그래서 이렇게 해야 된대.","나는 머릿 빛이 머리 색깔이 좀 붉은빛이 나잖아 그래서 이렇게 해야 된대."
"1433","뭐가 붉은빛이 나?","뭐가 붉은빛이 나?"
"1434","아~ 이 밑에는 내가 그~","아~ 이 밑에는 내가 그~"
"1435","그 오징어 먹믈 염색약을 하게 되면은 거 탈색을 해야 돼.","그 오징어 먹믈 염색약을 하게 되면은 거 탈색을 해야 돼."
"1436","검정물 색깔을 뺀 다음에 일반 염색약이 들어가야 되거든 근데","검정물 색깔을 뺀 다음에 일반 염색약이 들어가야 되거든 근데"
"1437","탈색을 하면 머릿결이 상해.","탈색을 하면 머릿결이 상해."
"1438","그래서 지금 내가 지금 길러 나오는 중이라 투 톤이야 지금 머릿결이","그래서 지금 내가 지금 길러 나오는 중이라 투 톤이야 지금 머릿결이"
"1439","아래는 좀 검정빛이 나고 위로 갈수록 인제 약간","아래는 좀 검정빛이 나고 위로 갈수록 인제 약간"
"1440","나 색맹이야?","나 색맹이야?"
"1441","어 색맹이야. {laughing}","어 색맹이야. {laughing}"
"1442","아니야 여기는 붉은빛이 나고 이쪽으로 어~ 진갈색인데 짙은 갈색빛이 나는 거야.","아니야 여기는 붉은빛이 나고 이쪽으로 어~ 진갈색인데 짙은 갈색빛이 나는 거야."
"1443","햇볕에 나가면 그렇게 보여.","햇볕에 나가면 그렇게 보여."
"1444","아니 그러면 그거는 얼마야?","아니 그러면 그거는 얼마야?"
"1445","그 큰 거 하나에 내 기억으로 한 칠천오백 원 주지 않았을까 라는 생각이 들드라구","그 큰 거 하나에 내 기억으로 한 칠천오백 원 주지 않았을까 라는 생각이 들더라고"
"1446","큰 게 몇 미리인데?","큰 게 몇 미리인데?"
"1447","이만해 굉장히 커 우리 사는 것보다 업소용이니까 크게 나오드라구 그래서","이만해 굉장히 커 우리 사는 것보다 업소용이니까 크게 나오더라고 그래서"
"1448","그거 하나 사면 내가 염색을 몇 번 할 정도로 해서","그거 하나 사면 내가 염색을 몇 번 할 정도로 해서"
"1449","올해 지금 네 개를 갖고 쓰구 있는데 아직두 두 개가 남았어.","올해 지금 네 개를 갖고 쓰구 있는데 아직두 두 개가 남았어."
"1450","부분 염색만 하니까 뿌리 펌만 하니까","부분 염색만 하니까 뿌리 펌만 하니까"
"1451","나는 아모스 거가 만삼천 원인가","나는 아모스 거가 만삼천 원인가"
"1452","요만해서 몇 번 쓰믄 없어.","요만해서 몇 번 쓰면 없어."
"1453","근데 내 거는 이만해 업소용이니까 근데","근데 내 거는 이만해 업소용이니까 근데"
"1454","언니 가게에서 그걸 하고 있어서","언니 가게에서 그걸 하고 있어서"
"1455","회전문인가 괜찮은 거 같애 나는 쪼끔","회전문인가 괜찮은 거 같애 나는 쪼끔"
"1456","꽃을 든 남자 근데 그게 머릿결 안 상하긴 해.","꽃을 든 남자 근데 그게 머릿결 안 상하긴 해."
"1457","안 상하긴 하는데 나는 인제","안 상하긴 하는데 나는 인제"
"1458","머리가 많이 흰머리가 많아서 인제","머리가 많이 흰머리가 많아서 인제"
"1459","새치 염색이 아니라 흰머리 염색으로 들어가야 돼서","새치 염색이 아니라 흰머리 염색으로 들어가야 돼서"
"1460","색이 짙어져야 되드라구 밝은색 컬러를 못 쓰니까","색이 짙어져야 되더라고 밝은색 컬러를 못 쓰니까"
"1461","근데 저렴하고 그래서 많이 이용하지 거쪽으로","근데 저렴하고 그래서 많이 이용하지 거쪽으로"
"1462","음~ 그러믄은 그러면은 그건 얻 미용 재료상 어디서 사는 거야?","음~ 그러면은 그러면은 그건 얻 미용 재료상 어디서 사는 거야?"
"1463","도마동 시장 있는 데께 가다 보면은 (()) 대도로 쪽에 있드라구 미용 재료상이","도마동 시장 있는 데께 가다 보면은 (()) 대도로 쪽에 있더라고 미용 재료상이"
"1464","그럼 이런 색도 있어?","그럼 이런 색도 있어?"
"1465","거기 가서 상담을 해야 될 거야.","거기 가서 상담을 해야 될 거야."
"1466","색이 그~ 되게 많아?","색이 그~ 되게 많아?"
"1467","그까 나는 내가 직접 가서 골르지를 않고 언니 심부름을 시켰기 때문에","그러니까 나는 내가 직접 가서 고르지를 않고 언니 심부름을 시켰기 때문에"
"1468","나는 항상 인터넷으로 한 제품만 계속 썼거든 꽃을 든 남자 그","나는 항상 인터넷으로 한 제품만 계속 썼거든 꽃을 든 남자 그"
"1469","발색 삼호 뭐~ 이거 그거만 계속 쓰다가","발색 삼호 뭐~ 이거 그거만 계속 쓰다가"
"1470","이제 좀 바꿔보자 ((할야꼬)) 염색약 지금 한 바꾼 지 한 육 개월 됐나?","이제 좀 바꿔보자 ((할야꼬)) 염색약 지금 한 바꾼 지 한 육 개월 됐나?"
"1471","육 개월 정도 된 거 같애.","육 개월 정도 된 거 같애."
"1472","그르구 이 밑에는 예전 머리 여기는 염색 육 개월 정도 육 센티 정도는 인제","그리고 이 밑에는 예전 머리 여기는 염색 육 개월 정도 육 센티 정도는 인제"
"1473","지금두 머리 스타일은 그냥 뭐~ 그릏게 길다 라는 생각 안 들구","지금두 머리 스타일은 그냥 뭐~ 그렇게 길다 라는 생각 안 들구"
"1474","그냥 괜찮네 그냥 그런 생각이 드는데","그냥 괜찮네 그냥 그런 생각이 드는데"
"1475","그러게 나는 이르니까","그러게 나는 이러니까"
"1476","아침에 출근할려면 머리 깜는 것도 길고","아침에 출근하려면 머리 감는 것도 길고"
"1477","그르구 말리는 데도 시간이 좀 걸리고","그리고 말리는 데도 시간이 좀 걸리고"
"1478","그리고 지금 가을이라 털갈이하는 거처럼 머리카락이 너무 많이 빠지니까","그리고 지금 가을이라 털갈이하는 거처럼 머리카락이 너무 많이 빠지니까"
"1479","너무 길게 이릏게 보이드라구 방바닥 같은 데 그래서 마","너무 길게 이렇게 보이더라고 방바닥 같은 데 그래서 마"
"1480","빨리 짤라야 되겠다 했는데 너 때문에 좋은 미용실을 하나 소개받게 생겼네.","빨리 짤라야 되겠다 했는데 너 때문에 좋은 미용실을 하나 소개받게 생겼네."
"1481","음~ 그렇구나 이제 &company-name3&두 사람 한 사람을 잃네.","음~ 그렇구나 이제 &company-name3&두 사람 한 사람을 잃네."
"1482","예전에 떠들어대 가지구 내가 거기를 끊었는데","예전에 떠들어대 가지구 내가 거기를 끊었는데"
"1483","나는 그래두 좀 외골수 즈 그 한 사람하고 친해지게 되면 오랫동안","나는 그래두 좀 외골수 즈 그 한 사람하고 친해지게 되면 오랫동안"
"1484","인제 가는 거","인제 가는 거"
"1485","가다 보니까 그 &company-name3& 원장님도 나 자주 못 보는데 잊지 않고 찾아와줘서 맨날 감사하다고 해.","가다 보니까 그 &company-name3& 원장님도 나 자주 못 보는데 잊지 않고 찾아와줘서 맨날 감사하다고 해."
"1486","그르구 가끔 너 안부두","그리고 가끔 너 안부두"
"1487","지금두?","지금두?"
"1488","어~ 그 친구 잘 있죠 그래서 네 그러구 말거든 지금도 물어.","어~ 그 친구 잘 있죠 그래서 네 그러구 말거든 지금도 물어."
"1489","야 벌써 사 년이 넘었니?","야 벌써 사 년이 넘었니?"
"1490","한참 됐을 거야.","한참 됐을 거야."
"1491","내가 짐 거기를 다닐 때가 한 칠 년도 넘은 거 같은데","내가 짐 거기를 다닐 때가 한 칠 년도 넘은 거 같은데"
"1492","그래.","그래."
"1493","맞아.","맞아."
"1494","나는 잃어버릴 만하면 한 번씩 가니까 되게 고마워하드라구 그르구 또","나는 잃어버릴 만하면 한 번씩 가니까 되게 고마워하더라고 그리고 또"
"1495","멀잖아 우리 집에서 가기 까지가","멀잖아 우리 집에서 가기 까지가"
"1496","그~ 고맙다고 항상 그르구 나 포인트두 많이 쌓여 있을 거야 거 한 번도 안 써서","그~ 고맙다고 항상 그리고 나 포인트두 많이 쌓여 있을 거야 거 한 번도 안 써서"
"1497","아~ 포인트는 뭘 줘?","아~ 포인트는 뭘 줘?"
"1498","깎을 뭐~ 나중에 쓸 때 머리 값 디씨로 들어가든가 뭐 하는데 한 번도 안 썼거든.","깎을 뭐~ 나중에 쓸 때 머리 값 디씨로 들어가든가 뭐 하는데 한 번도 안 썼거든."
"1499","인제 얼른 써.","인제 얼른 써."
"1500","써야 되겠네.","써야 되겠네."
"1501","쓰고 미용실을 옮겨야 되겠네.","쓰고 미용실을 옮겨야 되겠네."
"1502","그래야 되겠다. {laughing}","그래야 되겠다. {laughing}"
"1503","어~ 한 번 정도 그냥 하고 거기 남아 있는 게 안 하면","어~ 한 번 정도 그냥 하고 거기 남아 있는 게 안 하면"
"1504","그~ 어쨌든 우리가 머리 스타일도 얼굴에 많이 좌우를 하고","그~ 어쨌든 우리가 머리 스타일도 얼굴에 많이 좌우를 하고"
"1505","우리 또 어~ 옷 같은 것두 또 좌우를 많이 하는데","우리 또 어~ 옷 같은 것두 또 좌우를 많이 하는데"
"1506","옷은 왜 이렇게 작년 거가 올해 입을라면 또","옷은 왜 이렇게 작년 거가 올해 입으려면 또"
"1507","하나도 없 작년에 뭐 입었지라는 생각이 들잖아.","하나도 없 작년에 뭐 입었지라는 생각이 들잖아."
"1508","어~ 올해 되면 내가 뭐 입었는데 옷이 이릏게 없지?","어~ 올해 되면 내가 뭐 입었는데 옷이 이렇게 없지?"
"1509","옷을 또 사야 되나 뭐 이런 생각이 들드라구","옷을 또 사야 되나 뭐 이런 생각이 들더라고"
"1510","그까 작년 재작년 벌써 이런 게 유행이 지나니까","그러니까 작년 재작년 벌써 이런 게 유행이 지나니까"
"1511","벌써 내가 가방도 오늘 방 정리하면서","벌써 내가 가방도 오늘 방 정리하면서"
"1512","어~ 언니가 준 거 뭐~ 입 이런 것들 있잖아 복도에다 싸놨어 버릴려고","어~ 언니가 준 거 뭐~ 입 이런 것들 있잖아 복도에다 싸놨어 버리려고"
"1513","그래서 아~ 막 비 올 때 같이 그 가죽이","그래서 아~ 막 비 올 때 같이 그 가죽이"
"1514","뻣겨졌어 삐에르발 방 것두 근데 사실 내가 그건 빨간색이라","벗겨졌어 삐에르발 방 것두 근데 사실 내가 그건 빨간색이라"
"1515","너무 아줌마틱해서 안 들을려고","너무 아줌마틱해서 안 들려고"
"1516","그~ 했는데 그것도 그냥 버릴려고 밖에다가 내놨어.","그~ 했는데 그것도 그냥 버리려고 밖에다가 내놨어."
"1517","당근 마켓에다 팔 정도 수준은 안 되는 거야?","당근 마켓에다 팔 정도 수준은 안 되는 거야?"
"1518","아우 귀찮아 파는 것두 귀찮구","아우 귀찮아 파는 것두 귀찮구"
"1519","음~ 나중에 우리 이사 가면","음~ 나중에 우리 이사 가면"
"1520","나 옷 같은 거 뭐~ 이런 거 싹 갖다 버릴 거라고 했더니 왜 버리냬.","나 옷 같은 거 뭐~ 이런 거 싹 갖다 버릴 거라고 했더니 왜 버리냬."
"1521","당근에 팔 아니 그 당근에 그냥 무료 나눔 하지 그래서 어쨌든","당근에 팔 아니 그 당근에 그냥 무료 나눔 하지 그래서 어쨌든"
"1522","그래 나는 그냥 무료 나눔 하는 것보다는","그래 나는 그냥 무료 나눔 하는 것보다는"
"1523","나는 저기 할래 귀찮아 버릴래 나 이릏게 했다.","나는 저기 할래 귀찮아 버릴래 나 이렇게 했다."
"1524","눈 오면 기분이 넌 좋아 아니면은","눈 오면 기분이 넌 좋아 아니면은"
"1525","뭔가 현실적인 걱정부터 들어?","뭔가 현실적인 걱정부터 들어?"
"1526","저녁에 보면 좀 좋고","저녁에 보면 좀 좋고"
"1527","아침에 보면 짜증과 그런 게 아 근데 그렇게 한다 해도","아침에 보면 짜증과 그런 게 아 근데 그렇게 한다 해도"
"1528","어 쫌 약간 설레는 딱 그런 거는 있는 것 같아 딱","어 좀 약간 설레는 딱 그런 거는 있는 것 같아 딱"
"1529","그 눈 오는 특히 첫눈?","그 눈 오는 특히 첫눈?"
"1530","딱 보면은 어 진짜 뭔가 약간","딱 보면은 어 진짜 뭔가 약간"
"1531","첫사랑 느낌이라 해야되나 약간 조금 어리게 조금 돌아간 느낌?","첫사랑 느낌이라 해야되나 약간 조금 어리게 조금 돌아간 느낌?"
"1532","그래서 잠깐 현실을 이제 잊고있다가 이제 출근 해야 되는구나를 생각하고 막히겠구나","그래서 잠깐 현실을 이제 잊고있다가 이제 출근 해야 되는구나를 생각하고 막히겠구나"
"1533","어 지각하겠구나 혼나겠구나 이렇게 하면서 이제","어 지각하겠구나 혼나겠구나 이렇게 하면서 이제"
"1534","쫌 쪼꼼","조금 조금"
"1535","겁을 먹게 되는 딱 그 가 버스 타러 가는 길부터 이제 택시를 타도 안 될 걸 알기에","겁을 먹게 되는 딱 그 가 버스 타러 가는 길부터 이제 택시를 타도 안 될 걸 알기에"
"1536","좀 겁을 먹게 되는 걱정이","좀 겁을 먹게 되는 걱정이"
"1537","어쨌든 처음 보면은 처음에는 좋고 근데 그 좋은 게","어쨌든 처음 보면은 처음에는 좋고 근데 그 좋은 게"
"1538","이제 아침에 보면 짧게 가는 거 같애 그게","이제 아침에 보면 짧게 가는 거 같애 그게"
"1539","너는?","너는?"
"1540","나는 그동안 눈 오는 걸 항상 좋아했어서","나는 그동안 눈 오는 걸 항상 좋아했어서"
"1541","좀 눈 와도 번거러워도 비가 오면 굉장히 짜증나고","좀 눈 와도 번거러워도 비가 오면 굉장히 짜증나고"
"1542","힘들었는데 음 눈은 뭔가","힘들었는데 음 눈은 뭔가"
"1543","밖에 나왔을 때 눈이 와도","밖에 나왔을 때 눈이 와도"
"1544","엄청 막 좀","엄청 막 좀"
"1545","힘들게 한다거나 그런 기억들은 잘 없더라고","힘들게 한다거나 그런 기억들은 잘 없더라고"
"1546","그래서 눈은 웬만큼 잘 비바 차라리 비보다는","그래서 눈은 웬만큼 잘 비바 차라리 비보다는"
"1547","눈오는거 쫌 더 좋아하는 근데 아무래도 눈은 약간","눈오는거 조금 더 좋아하는 근데 아무래도 눈은 약간"
"1548","그런 감성이 쫌 더 담긴 기억들이 많다 보니까","그런 감성이 조금 더 담긴 기억들이 많다 보니까"
"1549","어 그 동안은 눈이 항상 언제 오나 눈이 기다려졌었는데","어 그 동안은 눈이 항상 언제 오나 눈이 기다려졌었는데"
"1550","신기하게 이번 연도는","신기하게 이번 연도는"
"1551","눈을 지금 떠올렸을때 엄청 막 눈이 빨리 왔으면 좋겠다란 생각은 안드는거 같애","눈을 지금 떠올렸을때 엄청 막 눈이 빨리 왔으면 좋겠다란 생각은 안드는거 같애"
"1552","그냥 지금 딱 음","그냥 지금 딱 음"
"1553","응 눈이","응 눈이"
"1554","(()) 요즘은 엄청","(()) 요즘은 엄청"
"1555","예전만큼 좋지는 않은 것 같애","예전만큼 좋지는 않은 것 같애"
"1556","그리고 눈은 아무래도 크리스마스 때?","그리고 눈은 아무래도 크리스마스 때?"
"1557","약간 기억들이 스리스마스 뭐 스키장","약간 기억들이 스리스마스 뭐 스키장"
"1558","어 그리고 뭐 눈사람만들기","어 그리고 뭐 눈사람만들기"
"1559","그리고 밤에 그렇게 눈이 오는 그렇게","그리고 밤에 그렇게 눈이 오는 그렇게"
"1560","되게 로맨스적이니까","되게 로맨스적이니까"
"1561","음 좀 아무래도 내가 눈에 대한 너무 좋은 기억들이 있다 보니까","음 좀 아무래도 내가 눈에 대한 너무 좋은 기억들이 있다 보니까"
"1562","음 이번 년도는 그냥 뭔가를 -족- 조","음 이번 년도는 그냥 뭔가를 -족- 조"
"1563","음 뭔가 축구","음 뭔가 축구"
"1564","차다아서 하는","차다아서 하는"
"1565","둘이 좀 올해 초에 내 생각과 느낌이었으면","둘이 좀 올해 초에 내 생각과 느낌이었으면"
"1566","얼른 빨리 좀 눈이 좋고 눈 떨어 되게 행복할 거 같은데","얼른 빨리 좀 눈이 좋고 눈 떨어 되게 행복할 거 같은데"
"1567","음 지금은 약간 괜히 좀 잔잔함?","음 지금은 약간 괜히 좀 잔잔함?"
"1568","잔잔함에 잔잔함에","잔잔함에 잔잔함에"
"1569","잔잔함의 좀 괜히 괜히 아쉬움을 남길까 봐","잔잔함의 좀 괜히 괜히 아쉬움을 남길까 봐"
"1570","하는 생각도 조금은 들어","하는 생각도 조금은 들어"
"1571","((왜뇸미))","((왜뇸미))"
"1572","그래서","그래서"
"1573","그래서","그래서"
"1574","쫌 눈을 되게 좋아하는데 올해는 뭐 예전","조금 눈을 되게 좋아하는데 올해는 뭐 예전"
"1575","그 그동안에보다는 그렇지만 그렇다고","그 그동안에보다는 그렇지만 그렇다고"
"1576","막 엄청 걱정 있다거나 좀 싫다거나 하는 건 없는 거 같애","막 엄청 걱정 있다거나 좀 싫다거나 하는 건 없는 거 같애"
"1577","난 내가 이렇게 습한 걸 싫어하는 줄을 몰랐는데 어 그","난 내가 이렇게 습한 걸 싫어하는 줄을 몰랐는데 어 그"
"1578","중국에서 윗지방 쪽으로 가면은 그니까 완전 윗지방하고 완전 아랫지방으로","중국에서 윗지방 쪽으로 가면은 그러니까 완전 윗지방하고 완전 아랫지방으로"
"1579","가면은 그렇게 습 할 수가 없다고 얘기를 듣고 갔음에도 불구하고","가면은 그렇게 습 할 수가 없다고 얘기를 듣고 갔음에도 불구하고"
"1580","최악이었어 정말 기분 상태도 그렇고 정말 최악이었어 그니까","최악이었어 정말 기분 상태도 그렇고 정말 최악이었어 그러니까"
"1581","완전 머리를 분명히 다 말리고 어느정도 모양을 -내- 냈었는데","완전 머리를 분명히 다 말리고 어느정도 모양을 -내- 냈었는데"
"1582","그게 거짓말 안하고 오 분이 -안- 안가 방에서","그게 거짓말 안하고 오 분이 -안- 안가 방에서"
"1583","나옴과 동시에 다 흐트러지고 그냥","나옴과 동시에 다 흐트러지고 그냥"
"1584","뭐 한 게 그냥 무의미해진다에 의미가 아니라 그냥 약간","뭐 한 게 그냥 무의미해진다에 의미가 아니라 그냥 약간"
"1585","이렇게 완전 다 그 이렇게 다","이렇게 완전 다 그 이렇게 다"
"1586","되가지구","되가지구"
