"","jeju","seoul"
"1869","사람들이 다 싹 가고 거기 사람들이 내려가면","사람들이 다 싹 가고 거기 사람들이 내려가면"
"1870","그 계단으로 이제 다 됐는데 그게 그 급경사처럼 되어있다","그 계단으로 이제 다 됐는데 그게 그 급경사처럼 되어있다"
"1871","게난 그계단도예","게난 그계단도예"
"1872","땀 다 시켱 올라오면 다시 땀이나 그 정도로 그 계단이 많아 거기도","땀 다 시켜서 올라오면 다시 땀이나 그 정도로 그 계단이 많아 거기도"
"1873","그런데도","그런데도"
"1874","어릴 때 가났져","어릴 때 갔었지"
"1875","그런데 거기 너무 좋아마씨","그런데 거기 너무 좋아요"
"1876","땡얼어도 좋아","땡얼어도 좋아"
"1877","아이들 해가지고 그디 까지","아이들 해가지고 그디 까지"
"1878","(())","(())"
"1879","난 되도록이면 좀 음","난 되도록이면 좀 음"
"1880","늘 우리는","늘 우리는"
"1881","이 속에서 살잖아마씨","이 속에서 살잖아요"
"1882","그지 응","그지 응"
"1883","아니 우린밖에는","아니 우린밖에는"
"1884","경해신디 이젠 아이들이 어서","그랬는데 이젠 아이들이 없어"
"1885","당연히 이제 언니랑 형부랑 다녀마씨","당연히 이제 언니랑 형부랑 다녀요"
"1886","우리 둘이 가는 수밖에","우리 둘이 가는 수밖에"
"1887","둘이 가야지마씨","둘이 가야지요"
"1888","혼자서는예 못해요","혼자서는예 못해요"
"1889","벗이","벗이"
"1890","(())","(())"
"1891","벗이 있어사","벗이 있어사"
"1892","그리고 우리도 점점 이제 아이들 학교 다니고","그리고 우리도 점점 이제 아이들 학교 다니고"
"1893","이제 구 학년 때 가니까 점점 시간이 없잖아요","이제 구 학년 때 가니까 점점 시간이 없잖아요"
"1894","겅 하니깐","겅 하니깐"
"1895","둘이의 언니네 거기 내외하고 했는데","둘이의 언니네 거기 내외하고 했는데"
"1896","그 언니는","그 언니는"
"1897","족은 언니가?","족은 언니가?"
"1898","나 바로 위에 너 언니 두명?","나 바로 위에 너 언니 두명?"
"1899","세 명","세 명"
"1900","언니세 명","언니세 명"
"1901","그 누구는","그 누구는"
"1902","언니는","언니는"
"1903","두번째?","두번째?"
"1904","두번째","두번째"
"1905","큰 언닌 서울에 있고","큰 언닌 서울에 있고"
"1906","큰언니는 돌아가셨고","큰언니는 돌아가셨고"
"1907","그때 사고 나가지고","그때 사고 나가지고"
"1908","무사?","왜"
"1909","사고난","사고난"
"1910","교통사고?","교통사고?"
"1911","딱 둘이 남았구나","딱 둘이 남았구나"
"1912","한명 (())","한명 (())"
"1913","우리밖에 없","우리밖에 없"
"1914","맞다 셋이구나","맞다 셋이구나"
"1915","셋 둘 셋","셋 둘 셋"
"1916","셋 셋","셋 셋"
"1917","딸 셋 아들 하나","딸 셋 아들 하나"
"1918","가사","가사"
"1919","음","음"
"1920","좋긴 좋아","좋긴 좋아"
"1921","아이들한테 안 좋아 응 나중에 강","아이들한테 안 좋아 응 나중에 강"
"1922","근데 이제","근데 이제"
"1923","지금 (())","지금 (())"
"1924","(())","(())"
"1925","건 맞주만은","건 맞지만"
"1926","나만 잘살당 가도 다행이랜 하는데 요즘은","나만 잘살다가 가도 다행이라고 하는데 요즘은"
"1927","우리가 큰 아이 제대허고","우리가 큰 아이 제대하고"
"1928","짝*은 거 시험 끝낭","작은 거 시험 끝나서"
"1929","방학 때구나 아이 방학 때구나.","방학 때구나 아니 방학 때구나."
"1930","우리 큰아들하곤 한 사 개월 같이","우리 큰아들하곤 한 사 개월 같이"
"1931","사 개월 오 개월 같이 있었고","사 개월 오 개월 같이 있었고"
"1932","짝*은 아덜하곤 이 개월 같이 있언.","작은 아들하고는 이 개월 같이 있었어."
"1933","같이 있는 거라.","같이 있는 거야."
"1934","응","응"
"1935","나 진짜 이 어마장장허게 바빴거든.","나 진짜 #이 엄청나게 바빴거든."
"1936","응","응"
"1937","엄청 뭐 핸.","엄청 뭐 했어."
"1938","어마장장","엄청"
"1939","응","응"
"1940","너네 큰아덜 많이 먹잖아.","너희 큰아들 많이 먹잖아."
"1941","해도 해도","해도 해도"
"1942","해도 해도 -끝-","해도 해도 -끝-"
"1943","돌아서믄 밥 돌아서믄 밥","돌아서면 밥 돌아서면 밥 밥"
"1944","요즘 우리 딸래미가 엄청나지.","요즘 우리 딸래미가 엄청나지."
"1945","걱정이라.","걱정이야."
"1946","키 백칠십이 경 되키여 게","키 백칠십이 그렇게 되겠네 #게"
"1947","그냥 이 돌아서","그냥 #이 돌아서"
"1948","나 진짜 어마어마해 해신디 이","나 진짜 어마어마해 했는데 #이"
"1949","짜증 안납디가?","짜증 안나던가요?"
"1950","나는 어떨 때 막 너무 짜증난마씨.","나는 어떨 때 막 너무 짜증났어요."
"1951","짜증 나지.","짜증 나지."
"1952","야 아들이 많이 먹엄시믄 아방도 같이들엉 먹어.","야 아들이 많이 먹고 있으면 아빠도 덩달아 먹어."
"1953","{laughing}","{laughing}"
"1954","왜 같이 놉든댄 허네.","왜 같이 날뛴다고 하잖아."
"1955","같이들엉 먹어.","덩달아 먹어."
"1956","{laughing}","{laughing}"
"1957","겐디 이제 가부난 이 잘도","그런데 이제 가버리니까 #이 막"
"1958","헐 일이 어시 허전헌게.","할 일이 없이 허전하네."
"1959","처음에는 좋았당 예 시간 지나믄 이제","처음에는 좋았다가 #예 시간 지나면 이제"
"1960","그립고 아이덜 보고정허고","그립고 아이들 보고싶고"
"1961","겐 들고 만들엉 보냄서.","그래서 들고 만들어서 보내고 있어"
"1962","응 잘햄수다.","응 잘하고 있어요."
"1963","근디 요번 제사 때 제사 해나난","근데 요번 제사 때 제사 하고 나니까"
"1964","적 소고기적 돼지고기적 하나씩 보냈주 게","적 소고기적 돼지고기적 하나씩 보냈지 #게"
"1965","어어어","응응응"
"1966","냉동시켰당 그 다음날 이","냉동시켰다가 그 다음날 #이"
"1967","어","응"
"1968","적 먹고 싶댄.","적 먹고 싶대."
"1969","제기 나 양지머리로 뭘 행 보낸.","저기 나 양지머리로 뭘 해서 보냈어."
"1970","저 장조림하고","저 장조림하고"
"1971","응","응"
"1972","적 행 보내신디 야 장조림 맛 없댄.","적 해서 보냈는데 야 장조림 맛 없대."
"1973","응 {laughing}","응 {laughing}"
"1974","겡 돼지고기 오만 원에치 사당 적을 핸.","그래서 돼지고기 오만 원어치 사다가 적을 했어."
"1975","일곱 고지 -나- 여덟 고지 나왔구나","일곱 꼬챙이 -나- 여덟 꼬챙이 나왔구나"
"1976","겐디 나눌 수가 어신거라 이것도","근데 나눌 수가 없는거야 이것도"
"1977","어떵 누구 네 고지 네 고지 주느니.","어떻게 누구 네 꼬챙이 네 꼬챙이 주겠어."
"1978","겡 오늘 내일 아침 그거 한 사람한테 몰아불고","그래서 오늘 내일 아침 그거 한 사람한테 몰아버리고"
"1979","아까 &company-name1& 가시난","아까 &company-name1& 갔더니"
"1980","응","응"
"1981","문 닫아서라 게","문 닫았더라 #게"
"1982","거기 일요일날마다 닫잖아마씨.","거기 일요일날마다 닫잖아요."
"1983","난 여기 안 다녕 다른 디 가는디 문 닫아서라)(닫았더라) (게","난 여기 안 다니고 다른 데 가는데 문 #게"
"1984","내일 강 사당 또 적 해야 돼.","내일 가서 사다가 또 적 해야 돼."
"1985","제사도 아닌디","제사도 아닌데"
"1986","아이 보내젠?","아이 보내려고?"
"1987","응","응"
"1988","야 나 고구마 샀져.","야 나 고구마 샀어."
"1989","아 그 모래고구만가 헌 거마씨?","아 그 모래고구만가 한 거요?"
"1990","모래고구마 아니라라 보난","모래고구마 아니더라 보니까"
"1991","나 모래고구마 처음 들어 봔.","나 모래고구마 처음 들어 봤어."
"1992","모래고구마 제일 맛있어.","모래고구마 제일 맛있어."
"1993","기꽈?","그래요?"
"1994","나는 그냥 꿀청고구마","나는 그냥 꿀청고구마"
"1995","산?","샀어?"
"1996","아니.","아니."
"1997","게니까 그런 것만 -들- 그니까 호박고구마 꿀청고구마","그러니까 그런 것만 -들- 그러니까 호박고구마 꿀청고구마"
"1998","무슨 밤고구마 이런 고구마는 들어봐신디","무슨 밤고구마 이런 고구마는 들어봤는데"
"1999","모래고구마는 안 들어보고","모래고구마는 안 들어보고"
"2000","한림에서 허는 거 이서.","한림에서 하는 거 있어."
"2001","나는 우리 딸래미가 그 뭐지?","나는 우리 딸래미가 그 뭐지?"
"2002","그 꿀청 같이 삶으믄 무사 그 -정-","그 꿀청 같이 삶으면 왜 그 -정-"
"2003","꿀 나오는 그것충","꿀 나오는 그것처럼"
"2004","꿀 같이 나온 거 그것만 좋아하니깐 예","꿀 같이 나온 거 그것만 좋아하니깐 #예"
"2005","그거 한동안 사당 먹어나신디","그거 한동안 사다 먹었었는데"
"2006","또 요즘에는 안 먹켄 하니까 이제는 또 안사줨시","또 요즘에는 안 먹겠다고 하니까 이제는 또 안사주는데"
"2007","게고 몰라신디 고구마도 구워 먹으면","그리고 몰랐는데 고구마도 구워 먹으면"
"2008","당도가 더 높아져 가지고 오히려 많이 먹으면","당도가 더 높아져 가지고 오히려 많이 먹으면"
"2009","그 당 칼로리가 높아가지고 안좋다고","그 당 칼로리가 높아가지고 안좋다고"
"2010","그냥 쪄먹으라고 나왔더라고 예 또 예","그냥 쪄먹으라고 나왔더라고 #예 또 #예"
"2011","경허니까 이제 또 {laughing}","그러니까 이제 또 {laughing}"
"2012","어쨌든 그 당을 높이는 걸로는","어쨌든 그 당을 높이는 걸로는"
"2013","그 고구마가 다이어트가 안 되는 거였는데","그 고구마가 다이어트가 안 되는 거였는데"
"2014","모르고 우리 열심히 양면팬에다가 구워먹었지. {laughing}","모르고 우리 열심히 양면팬에다가 구워먹었지. {laughing}"
"2015","나 산 아까 오멍","나 샀어 아까 오면서"
"2016","아 기마씨?","아 그래요?"
"2017","좀 주카?","좀 줄까?"
"2018","갈때 가져가 볼래?","갈때 가져가 볼래?"
"2019","언니네 먹어마씨.","언니네 드세요."
"2020","나 혼자 먹는디","나 혼자 먹는데"
"2021","멫 개만 가져가 봐봐.","몇 개만 가져가 봐봐."
"2022","게민 줘봅서 한 번","그러면 줘보세요 한 번"
"2023","게난 모래고구만 아니고","그러니까 모래고구만 아니고"
"2024","모래 고구마 안닮아.","모래 고구마 아닌 것 같아."
"2025","마라도 아까 마라도랜 써져신가?","마라도 아까 마라도라고 써졌던가?"
"2026","마라도?","마라도?"
"2027","맛 좋은지 -만- 그냥 박스도 안뗀 지금","맛 좋은지 -만- 그냥 박스도 안뗐어 지금"
"2028","아니 난 우도 땅콩이","아니 난 우도 땅콩이"
"2029","우도땅콩 나도 구해주라 좀","우도땅콩 나도 구해주라 좀"
"2030","나가 지금 그 말 허젠 햄수다>","내가 지금 그 말 하려고 하고 있어요."
"2031","어디 강 구허느니?","어디 가서 구해야 될까?"
"2032","아 게니까","아 그러니까"
"2033","오늘도 그 동문시장 가신디 예","오늘도 그 동문시장 갔는데 #예"
"2034","영 쪼끄만헌 거 하나에","이렇게 조그만한 거 하나에"
"2035","오천 원 만 원 행 팔암십디다.","오천 원 만 원 해서 팔고 있습디다."
"2036","아 비싸다.","아 비싸다."
"2037","(())","(())"
"2038","건디 우도에 가난 우도땅콩 비싸라.","그런데 우도에 가니까 우도땅콩 비싸더라,"
"2039","우도에도","우도에도"
"2040","거기도 비슷하댄은 허여.","거기도 비슷하다고는 해"
"2041","우도도 비싸라.","우도도 비싸더라."
"2042","게난 거기 아는 사람한테 말행으네","그러니까 거기 아는 사람한테 말해서"
"2043","그 땅콩을 예 받앙 와야지","그 땅콩을 #예 받아 와야지"
"2044","경하지 않는 이상은 싸지 안허여.","그러지 않는 이상은 싸지 않아."
"2045","나 아는 아이 작년에 어마어마허게","내가 아는 아이 작년에 어마어마하게"
"2046","그거 막 구허젠 막 해도 못구핸.","그거 막 구하려고 막 해도 못구했어."
"2047","그 우도에 예","그 우도에 #예"
"2048","거기서도 크거 땅콩으로 아이스크림 만들지 예","거기서도 크거 땅콩으로 아이스크림 만들지 #예"
"2049","또 무슨 뭣도 만들지 예 경하니까","또 무슨 뭣도 만들지 #예 그러니까"
"2050","그 땅콩이 거기도 예 농사 짓는 사람들이","그 땅콩이 거기도 #예 농사 짓는 사람들이"
"2051","남아나지 않는거라.","남아나지 않는거야."
"2052","우도땅콩 맛있어 이","우도땅콩 맛있어 이"
"2053","난 그냥 땅콩도 맛있어.","난 그냥 땅콩도 맛있어."
"2054","맛있는 땅콩 (())","맛있는 땅콩 (())"
"2055","우도땅콩은 껍질째 그냥 먹어도 되난 예 좋잖아.","우도땅콩은 껍질째 그냥 먹어도 되니까 #예 좋잖아."
"2056","어쨌든 맛있는 땅콩 구해지믄","어쨌든 맛있는 땅콩 구해지면"
"2057","나 좀 사게 해 주라.","나 좀 사게 해 주라."
"2058","나도 알아지민 좋으크라.","나도 알았으면 좋겠어."
"2059","아 요번에 누가 키위 골드키위","아 요번에 누가 키위 골드키위"
"2060","저 뭐냐 십 키로에 삼만 오천 원","저 뭐냐 십 킬로에 삼만 오천 원"
"2061","나 키윈 이서.","나 키윈 있어."
"2062","골드키위","골드키위"
"2063","저번에 우리 아들이 레드키위 학교에서","저번에 우리 아들이 레드키위 학교에서"
"2064","그 정심시간에 레드키위 식판에는 경 해신디","그 점심시간에 레드키위 식판에는 그렇게 했는데"
"2065","어디가 빨간색이라?","어디가 빨간색이야?"
"2066","그냥 그린키윈가 나왔던 모양이라마씨.","그냥 그린키윈가 나왔던 모양이에요."
"2067","우리 아들이 레드키위랜 해신디","우리 아들이 레드키위라고 했는데"
"2068","어디가 빨간 색이녠 해가멍 {laughing}","어디가 빨간 색이냐고 하면서 {laughing}"
"2069","우리 왜 한동안 아 언니 그때 홍키위","우리 왜 한동안 아 언니 그때 홍키위"
"2070","나 언니한테도 저거 해나수꽈?","나 언니한테도 저거 했었나요?"
"2071","언니한텐 안해신가?","언니한텐 안했나?"
"2072","우리 형님네가 홍키위를 재배해난마씨.","우리 형님네가 홍키위를 재배했었어요."
"2073","그 레드키위를","그 레드키위를"
"2074","그때 겡 한동안 예 엄청 그~","그때 그래서 한동안 #예 엄청 그~"
"2075","파찌 예 팔아주기도 허고","비상품과 #예 팔아주기도 허고"
"2076","그 파찌 갖다당 우리 엄청 먹었거든 예","그 비상품과 가져다가 우리 엄청 먹었거든 #예"
"2077","겐디 우리 아이들이 원래","그런데 우리 아이들이 원래"
"2078","골드키위하고 그린키위를 잘 안 먹어났어 예 근데","골드키위하고 그린키위를 잘 안 먹었었어 #예 근데"
"2079","근데 레드키위 먹으면서 골드키위도 먹고","근데 레드키위 먹으면서 골드키위도 먹고"
"2080","경 하니깐 이번에 우리 아들내미가","그렇게 하니깐 이번에 우리 아들내미가"
"2081","엄마 예 레드키위랜 해신디 강 보난 예","엄마 #예 레드키위하고 했는데 가서 보니까 #예"
"2082","레드키위랑 마랑 예 빨간 거 하나도 어십디다.","레드키위는 커녕 #예 빨간 거 하나도 없더라구요."
"2083","{laughing} 다 초록색입디다.","{laughing} 다 초록색이었어요."
"2084","아이고 게 그린키위도 아니고?","아이고 #게 그린키위도 아니고?"
"2085","허멍으네 나가 경 골았주마씸.","하면서 내가 그렇게 말했거든요."
"2086","경허멍 헐 했댄 허멍.","그러면서 헐 했다고 하면서"
"2087","자기 키위 먹고정해신디","자기 키위 먹고 싶었는데"
"2088","요번에 샤인머스캣도","요번에 샤인머스캣도"
"2089","어 맛있드라 이","응 맛있드라 #이"
"2090","거 잘 먹어나신디.","그거 잘 먹었었는데."
"2091","너무 비싸 게","너무 비싸 #게"
"2092","요번에 우리 그 아는 친구가 샤인머스켓 예","요번에 우리 그 아는 친구가 샤인머스켓 #예"
"2093","-키우- 허멘?","-키우- 해?"
"2094","제주도에서도 허나?","제주도에서도 하나?"
"2095","아니 육지 꺼 같애.","아니 육지 거 같애."
"2096","육지에서 하지.","육지에서 하지."
"2097","근데 예 그~","근데 #예 그~"
"2098","전라도에서 하는데","전라도에서 하는데"
"2099","한 상잔데 그게 예","한 상잔데 그게 #예"
"2100","십 키로는 아닌 거 같애 언니","십 킬로는 아닌 거 같애 언니"
"2101","한 칠팔 키론데) (그니까 시중에 파는","한 칠팔 그러니까 시중에 파는"
"2102","포도송이 이만큼 굵은 거 아니고","포도송이 이만큼 굵은 거 아니고"
"2103","이렇게 굵은데 왜 그 송이가","이렇게 굵은데 왜 그 송이가"
"2104","상품 아니고 비상품 같은 거 예","상품 아니고 비상품 같은 거 #예"
"2105","근데 우리 집에서 먹을 수 있는 거","근데 우리 집에서 먹을 수 있는 거"
"2106","그런 게 한 상자에 그~ 한 칠 키론가","그런 게 한 상자에 그~ 한 칠 키론가"
"2107","멫 키로쯤 되는 것 같애.","몇 킬로쯤 되는 것 같애."
"2108","근데 그게 예 송이가 좀 작은 건 -열두- 열네 개","근데 그게 #예 송이가 좀 작은 건 -열두- 열네 개"
"2109","좀 큰 건 열두 개 영 들어있는데","좀 큰 건 열두 개 이렇게 들어있는데"
"2110","한 상자에 오만 원","한 상자에 오만 원"
"2111","아 싸게 나왔다 이","아 싸게 나왔다 #이"
"2112","게가지고 우리 다 산.","그래가지고 우리 다 샀어."
"2113","난 처음에 야이가 근데 말할 때","난 처음에 얘가 근데 말할 때"
"2114","한 상자에 스무 송이가 들어 있다는 거라.","한 상자에 스무 송이가 들어 있다는 거야."
"2115","게난 스무 송이는 -먹- 다 먹기 너무 많으니까","그러니까 스무 송이는 -먹- 다 먹기 너무 많으니까"
"2116","너랑 나랑 게믄 갈르겐 해그네","너랑 나랑 그러면 가르자고 해서"
"2117","해신디 온 거 보니까 그런 게 아니고","했는데 온 거 보니까 그런 게 아니고"
"2118","경 된거라 예","그렇게 된 거야 #예"
"2119","겐 가이영 나영도 여섯 송이씩인가 갈라서 겡 둘이","그래서 걔랑 나랑도 여섯 송이씩인가 갈라서 그래서 둘이"
"2120","너무 짝*다 이","너무 적다 #이"
"2121","완전 꿀","완전 꿀"
"2122","응 맛있어.","응 맛있어."
"2123","너무 맛있어.","너무 맛있어."
"2124","난 비쌍 이 많이 못 먹어봔.","난 비싸서 #이 많이 못 먹어봤어."
"2125","막걸리에 예 완전 대박 그 샤인머스켓","막걸리에 #예 완전 대박 그 샤인머스켓"
"2126","겡 요자기 저~ 누구 사켄 허니깐","그래서 요번에 저~ 누구 사겠다고 하니까"
"2127","지금도 살 수 이시녠 그때 물어보난","지금도 살 수 있냐고 그때 물어보니까"
"2128","한 이 주 전에 말하니깐 살 수 있댄 행","한 이 주 전에 말하니깐 살 수 있다고 해서"
"2129","그때도 사서 한 상자에 오만 원에","그때도 샀어 한 상자에 오만 원에"
"2130","언니 사켄 허믄 나 또 한 번 골아보카?","언니 사겠다고 하면 나 또 한 번 말해볼까?"
"2131","요즘엔 먹을 거 많아.","요즘엔 먹을 거 많아."
"2132","많아?","많아?"
"2133","응 먹을 거 많아.","응 먹을 거 많아."
"2134","경허멍으네 나가)?(내가) 우리 또 다시 한 상자 (사카?","그러면서 살까?"
"2135","그 때 반 상자 먹어시난","그 때 반 상자 먹었으니까"
"2136","허니까 에이구 또 어떵 그거 한 상자 상 또 그거 먹나.","하니까 에이구 또 어떻게 그거 한 상자 사서 또 그거 먹냐."
"2137","허니까 아니 이시믄 아이들도 달달허니까","하니까 아니 있으면 아이들도 달달하니까"
"2138","완전 앉은 자리에서 그 한 송이 금방 다 먹어마씨 그냥 아이들이","완전 앉은 자리에서 그 한 송이 금방 다 먹어요 그냥 아이들이"
"2139","어 나 아까 너 그거에 맥주 한 잔 먹었댄 허니까 맥주 마시고 싶다.","응 나 아까 너 그거에 맥주 한 잔 먹었다고 하니까 맥주 마시고 싶다."
"2140","아니 막걸리 먹었댄 허니까","아니 막걸리 먹었다고 하니까"
"2141","{laughing}","{laughing}"
"2142","막걸리나 어쨌든 맥주나 이런 거는 아콜리 때문에","막걸리나 어쨌든 맥주나 이런 거는 알콜 때문에"
"2143","알콜 때문에 예 씁쓸하잖아.","알콜 때문에 #예 씁쓸하잖아."
"2144","근데 예 아 근데 한 잔 하고 싶다.","근데 #예 아 근데 한 잔 하고 싶다."
"2145","너무 늦어샤?","너무 늦었을까?"
"2146","아니 안늦언. {laughing}","아니 안늦었어. {laughing}"
"2147","알아서 게믄","알았어 그러면"
"2148","맥주 한 잔 먹고 싶긴 허다 게 {laughing}","맥주 한 잔 먹고 싶긴 하다 #게 {laughing}"
"2149","아 잠깐만 이","아 잠깐만 #이"
"2150","예","예"
"2151","겡 거 샀구나 너네 그~ 그~","그래서 그거 샀구나 너희 그~ 그~"
"2152","예 겡으네 그거 우리 그때","예 그렇게 해서 그거 우리 그때"
"2153","멫 상자를 판 지 몰라마씨.","몇 상자를 팔았는 지 몰라요."
"2154","그거 너네 나도","그거 너희 나도"
"2155","응","응"
"2156","그거 헐 때 우리 해줄락 허게.","그거 할 때 우리 해주기 하자."
"2157","응응","응응"
"2158","장터 열릴 때","장터 열릴 때"
"2159","내년에 또 할지 안 할지는 모르겠는데 아마 올해 처음으로","내년에 또 할지 안 할지는 모르겠는데 아마 올해 처음으로"
"2160","장터 열릴 때 사든 안 사든","장터 열릴 때 사든 안 사든"
"2161","응","응"
"2162","살래 행 물어봐.","살래 해서 물어봐."
"2163","사크녠 물어봐 이","사겠냐고 물어봐 #이"
"2164","아니 근데 오만원이라 그거","아니 근데 오만원이야 그거"
"2165","아니 이것저것 거 말고라도","아니 이것저것 그거 말고라도"
"2166","아 여러 개 열어시믄","아 여러 개 열었으면"
"2167","여러 개 우린 장터 많이 열리거든.","여러 개 우린 장터 많이 열리거든."
"2168","응 겐 나 아는 사람들 그~ 다 직접 자기네 -아-","응 그래서 나 아는 사람들 그~ 다 직접 자기네 -아-"
"2169","골드키위도 자기네 아빠가 재배했져 이","골드키위도 자기네 아빠가 재배했어 #이"
"2170","사켄 허면 사라 싸게 팔켜 허멍 경 얘기하고","사겠다고 하면 사라 싸게 팔게 하면서 그렇게 얘기하고"
"2171","또 이거는 그~ 나 아는 친구네","또 이거는 그~ 나 아는 친구네"
"2172","그~ 아는 사람이 얘기하니까","그~ 아는 사람이 얘기하니까"
"2173","그 친구가 우리 단톡방에 올리니깐","그 친구가 우리 단톡방에 올리니깐"
"2174","우리가 겡으네 또 다들 하남씩 다 샀거든.","우리가 그렇게 해서 또 다들 하나씩 다 샀거든."
"2175","너무 맛있어.","너무 맛있어."
"2176","맛있어?","맛있어?"
"2177","응","응"
"2178","제주도에서 키우지 못햄실거라","제주도에서 키우지 못하고 있을거야."
"2179","응응","응응"
"2180","겐디 나는 나 욕심에는 한 상자 더 사고싶어.","그런데 나는 내 욕심에는 한 상자 더 사고싶어."
"2181","난 집에 아무도 어서부난 게","난 집에 아무도 없어서 #게"
"2182","먹을 사람도 어서.","먹을 사람도 없어."
"2183","어 우리는 예 그거 하믄 예","응 우리는 #예 그거 하면 #예"
"2184","계속 먹으니깐 예 저거하고 예","계속 먹으니깐 #예 저거하고 #예"
"2185","게니까 또 과일 또 요즘 대봉감이영","그러니까 또 과일 또 요즘 대봉감이랑"
"2186","홍시 나오잖아 예 나 너무 좋아하거든 예","홍시 나오잖아 #예 나 너무 좋아하거든 #예"
"2187","대봉감 한 박스 사카 혼자 지금 생각햄수다.","대봉감 한 박스 살까 혼자 지금 생각하고 있어요."
"2188","파는 디 이서?","파는 데 있어?"
"2189","아니 여기 &company-name&에","아니 여기 &company-name&에"
"2190","한 열 갠가 멫 갠가 아무튼 들어신디","한 열 갠가 몇 갠가 아무튼 들었는데"
"2191","이 만원 헙디다 게","이 만원 합디다 #게"
"2192","{laughing} 난 작년에 뭐 핸.","{laughing} 난 작년에 뭐 했어."
"2193","나 아는 그 어디냐 장성에 하여간","내가 아는 그 어디냐 장성에 하여간"
"2194","전라도하고 경상도 사이에서","전라도하고 경상도 사이에서"
"2195","응","응"
"2196","그~ 사시는 분이 이신디 거기서 감을","그~ 사시는 분이 있는데 거기서 감을"
"2197","감을 경상도 어느 지방에서 감을 사당","감을 경상도 어느 지방에서 감을 사다가"
"2198","감을 다 깎앙","감을 다 깎아서"
"2199","깎앙으네","깎아서"
"2200","나 옛날 카톡 사진 봐나샤?","내 옛날 카톡 사진 봤었어?"
"2201","감 주렁주렁 열령","감 주렁주렁 열려서"
"2202","근디 그 사람네 포도 허는 사람이라.","근데 그 사람들 포도 하는 사람이야."
"2203","게난 포도 하우스에서","그러니까 포도 하우스에서"
"2204","게믄 곶감 하시는 분들?","그럼 곶감 하시는 분들?"
"2205","곶감을 저~ 저~ 겨울에 부업으로 해.","곶감을 저~ 저~ 겨울에 부업으로 해."
"2206","그니까 이제 지금","그러니까 이제 지금"
"2207","원래는포도 해.","원래는포도 해."
"2208","지금은 곶감 열엉 깎암실거라.","지금은 곶감 열어서 깎고 있을거야."
"2209","지금 한참들 깎앙덜","지금 한참들 깎아서들"
"2210","깎암실거라.","깎고 있을거야."
"2211","곶감 -만- 곶감 만든댄 햄더라고마씸.","곶감 -만- 곶감 만든다고 하더라고요."
"2212","겡 곶감 어마어마허게 사난 나","그래서 곶감 어마어마허게 샀었어 나"
"2213","나는 곳감 엄청 좋아하고","나는 곳감 엄청 좋아하고"
"2214","디지게 싸.","되게 싸."
"2215","싼데","싼데"
"2216","나 사줘 올해","나 사줘 올해"
"2217","어마하게 맛있어.","엄청 맛있어."
"2218","나 올해 사줘 언니","나 올해 사줘 언니"
"2219","디게 싸게 산 직접","되게 싸게 샀어 직접"
"2220","나 그럼 사줘.","나 그럼 사줘."
"2221","근데 작년에 처음 해봈든 사람들이라서 이 너무 싸게 받안.","근데 작년에 처음 해봤던 사람들이라서 #이 너무 싸게 받았어."
"2222","아이 많이 팔아서.","아이 많이 팔았어."
"2223","나 곶감 엄청 좋아해마씸.","나 곶감 엄청 좋아해요."
"2224","나가 그디 농장에 강 직접 간 그디 간","내가 거기 농장에 가서 직접 가서 거기 가서"
"2225","아 직접 간?","아 직접 갔어?"
"2226","간 상태에서 있드라니까.","간 상태에서 있드라니까."
"2227","막 주문 받안.","막 주문 받았어."
"2228","근디 가격을 얼마 헐지 모르더라고.","근데 가격을 얼마 할지 모르더라고."
"2229","얼마에 팔아야 될지 모르켄.","얼마에 팔아야 될지 모르겠대."
"2230","겐 빨리 정허랜 허난 그 자리에서 그냥 정핸.","그래서 빨리 정하라고 하니까 그 자리에서 그냥 정했어."
"2231","그 다음날 택배 막 부쳔.","그 다음날 택배 막 부쳤어."
"2232","나 곶감 엄청 좋아허는디 나","나 곶감 엄청 좋아하는데 나"
"2233","게믄 곶감 먹게.","그러면 곶감 먹자."
"2234","나 예 곶감도 좋아허고 예","나 #예 곶감도 좋아하고 #예"
"2235","응","응"
"2236","감 대봉감 하고 연시 좋아허고 예","감 대봉감 하고 연시 좋아하고 #예"
"2237","단감보다는 그게 난 더 좋긴 해.","단감보다는 그게 난 더 좋긴 해."
"2238","아 단감도 단것들은 잘도 좋은디","아 단감도 단것들은 막 좋은데"
"2239","그래도 내가 좋아하는 거는 그거","그래도 내가 좋아하는 거는 그거"
"2240","게난 요번에도 마트 갔다 허믄 늘 그 훙시 한 팩씩 사.","그러니까 요번에도 마트 갔다 하면 늘 그 훙시 한 팩씩 사."
"2241","나를 위해서","나를 위해서"
"2242","나 곶감 나오면 전화허크라.","나 곶감 나오면 전화할게."
"2243","게믄 우리 좀 있당 가게 이","그러면 우리 좀 있다가 가자 #이"
"2244","예","예"
"2245","게난 일 학년하고 얘네가 지금 복학했으니까 당연히","그니까 일 학년하고 얘네가 지금 복학했으니까 당연히"
"2246","한 네 살 차이 나나?","한 네 살 차이 나나?"
"2247","여유가 있으려나? 아이들이","여유가 있으려나? 아이들이"
"2248","게난 난 그 생각은 들어 우리","그니까 난 그 생각은 들어 우리"
"2249","좀 좀 긴장핸게 옛날하곤 좀 달라","좀 좀 긴장하더라 옛날하곤 좀 달라"
